client_id,industry_sector,facility_amount_usd,interest_rate_margin_pct,maturity_date,revenue,ebitda,total_debt,icr,leverage_ratio,internal_rating,pd_percent,ecl_provision,dashboard_status
CORP_00033,Technology,249577003,5.23,2027-09-23,251877720.0,25947607.0,77915049.0,3.42,3.0,B,0.05,5615482.57,Review Required (High Exposure)
CORP_00034,Healthcare,104052376,1.36,2027-10-24,376333864.0,97882122.0,452270666.0,3.69,4.62,C,0.15,7023535.38,Critical Watchlist
CORP_00035,Energy,182077808,1.25,2032-10-02,172600472.0,40720674.0,143362730.0,4.94,3.52,B,0.05,4096750.68,Review Required (High Exposure)
CORP_00036,Retail,111406362,4.41,2028-09-14,224754388.0,34755320.0,71499358.0,5.46,2.06,A,0.01,501328.63,Performing
CORP_00037,Commercial Real Estate,216969082,2.91,2030-03-27,87398004.0,16764079.0,46905195.0,4.82,2.8,B,0.05,4881804.35,Review Required (High Exposure)
CORP_00038,Energy,111777086,2.15,2027-10-12,417458551.0,55924610.0,125530823.0,6.7,2.24,A,0.01,502996.89,Performing
CORP_00039,Technology,67250665,4.19,2028-08-26,151404891.0,37113681.0,98579616.0,4.33,2.66,B,0.05,1513139.96,Performing
CORP_00040,Aviation,205427519,2.88,2029-01-05,405821414.0,75303011.0,197225615.0,5.17,2.62,B,0.05,4622119.18,Review Required (High Exposure)
CORP_00041,Commercial Real Estate,186009883,3.95,2027-03-17,256619983.0,67144587.0,191480343.0,4.15,2.85,B,0.05,4185222.37,Review Required (High Exposure)
CORP_00042,Manufacturing,160716283,3.53,2028-07-09,464000527.0,92401302.0,322069693.0,3.57,3.49,B,0.05,3616116.37,Review Required (High Exposure)
CORP_00043,Logistics,236334863,4.22,2028-02-09,112077785.0,30335953.0,76832793.0,4.53,2.53,B,0.05,5317534.42,Review Required (High Exposure)
CORP_00044,Technology,199438926,3.2,2029-09-05,467727520.0,118794993.0,513457986.0,3.0,4.32,C,0.15,13462127.5,Critical Watchlist
CORP_00045,Manufacturing,84757501,4.84,2031-01-01,240830853.0,31024615.0,116599840.0,2.85,3.76,B,0.05,1907043.77,Performing
CORP_00046,Financials,125716221,1.99,2026-09-20,61662908.0,7217930.0,31174817.0,3.57,4.32,C,0.15,8485844.92,Critical Watchlist
CORP_00047,Telecommunications,156079598,4.83,2030-04-27,56072190.0,6634704.0,24710614.0,2.88,3.72,B,0.05,3511790.96,Review Required (High Exposure)
CORP_00048,Retail,245028605,3.26,2032-11-11,166260625.0,19140573.0,78343277.0,3.15,4.09,C,0.15,16539430.84,Critical Watchlist
CORP_00049,Retail,57286002,5.81,2028-09-25,205004721.0,35207940.0,115299197.0,2.96,3.27,B,0.05,1288935.05,Performing
CORP_00050,Manufacturing,37049003,3.83,2027-12-01,39451928.0,8047595.0,31490785.0,3.07,3.91,B,0.05,833602.57,Performing
CORP_00051,Logistics,66136438,6.35,2032-06-07,222964492.0,44599937.0,111437019.0,3.69,2.5,A,0.01,297613.97,Performing
CORP_00052,Financials,201412659,4.31,2030-05-23,495451483.0,116728615.0,496310011.0,2.67,4.25,C,0.15,13595354.48,Critical Watchlist
CORP_00053,Aviation,133482111,2.23,2029-05-26,161035068.0,42668659.0,209621369.0,3.02,4.91,C,0.15,9010042.49,Critical Watchlist
CORP_00054,Logistics,130683192,5.52,2029-01-30,85035865.0,23927197.0,105189417.0,2.27,4.4,C,0.15,8821115.46,Critical Watchlist
CORP_00055,Energy,204502978,2.9,2032-05-24,27426970.0,7473160.0,27215700.0,3.71,3.64,B,0.05,4601317.0,Review Required (High Exposure)
CORP_00056,Retail,208754980,2.91,2029-04-05,198263359.0,52781711.0,215511804.0,3.31,4.08,C,0.15,14090961.15,Critical Watchlist
CORP_00057,Energy,198466162,1.17,2028-10-02,477770177.0,112199486.0,481414577.0,4.11,4.29,C,0.15,13396465.94,Critical Watchlist
CORP_00058,Commercial Real Estate,242544070,4.02,2026-02-05,39615995.0,6190074.0,19004167.0,3.82,3.07,B,0.05,5457241.58,Review Required (High Exposure)
CORP_00059,Healthcare,200524628,3.94,2028-01-14,195117718.0,49391122.0,211884739.0,2.76,4.29,C,0.15,13535412.39,Critical Watchlist
CORP_00060,Technology,60831368,2.96,2030-10-31,387659320.0,55776571.0,165728658.0,4.51,2.97,B,0.05,1368705.78,Performing
CORP_00061,Financials,15959014,5.92,2026-12-19,281653135.0,74243953.0,224914537.0,3.17,3.03,B,0.05,359077.82,Performing
CORP_00062,Logistics,61972561,1.71,2031-04-07,190484306.0,45331959.0,180364161.0,4.05,3.98,B,0.05,1394382.62,Performing
CORP_00063,Retail,53900483,2.82,2026-03-14,150931048.0,23684910.0,73866323.0,4.38,3.12,B,0.05,1212760.87,Performing
CORP_00064,Energy,25193880,2.77,2029-10-08,73797005.0,11068763.0,54558319.0,2.79,4.93,C,0.15,1700586.9,Critical Watchlist
CORP_00065,Telecommunications,125826171,1.51,2031-03-30,62811741.0,17933160.0,40209418.0,7.42,2.24,A,0.01,566217.77,Performing
CORP_00066,Commercial Real Estate,8385357,3.65,2028-12-29,458397823.0,115943661.0,281922096.0,5.05,2.43,A,0.01,37734.11,Performing
CORP_00067,Technology,49738553,4.78,2032-10-08,223730916.0,57531787.0,285342594.0,2.17,4.96,C,0.15,3357352.33,Critical Watchlist
CORP_00068,Technology,239564360,3.81,2027-12-09,215746689.0,49408576.0,175580757.0,3.39,3.55,B,0.05,5390198.1,Review Required (High Exposure)
CORP_00069,Logistics,73574553,1.86,2030-12-10,392577822.0,96528652.0,358162494.0,4.24,3.71,B,0.05,1655427.44,Performing
CORP_00070,Financials,156063092,3.08,2028-08-13,268905087.0,72939365.0,149307941.0,6.44,2.05,A,0.01,702283.91,Performing
CORP_00071,Aviation,191375041,1.01,2032-10-11,326551564.0,76761845.0,260566056.0,5.35,3.39,B,0.05,4305938.42,Review Required (High Exposure)
CORP_00072,Telecommunications,234890139,5.78,2026-06-09,231996050.0,45314363.0,190801815.0,2.31,4.21,C,0.15,15855084.38,Critical Watchlist
CORP_00073,Logistics,16392366,1.46,2032-01-06,471196769.0,57805004.0,266362218.0,3.64,4.61,C,0.15,1106484.7,Critical Watchlist
CORP_00074,Energy,208996587,4.29,2030-10-02,281903236.0,49665504.0,164741466.0,3.43,3.32,B,0.05,4702423.21,Review Required (High Exposure)
CORP_00075,Healthcare,93883975,6.42,2030-05-05,42238377.0,4997749.0,24850980.0,1.84,4.97,C,0.15,6337168.31,Critical Watchlist
CORP_00076,Manufacturing,152697582,3.95,2026-03-08,49236843.0,9570476.0,22894930.0,4.95,2.39,A,0.01,687139.12,Performing
CORP_00077,Aviation,212724578,6.08,2032-08-25,322343349.0,63458053.0,286850165.0,2.09,4.52,C,0.15,14358909.02,Critical Watchlist
CORP_00078,Financials,152405005,2.3,2026-02-27,30252379.0,3811906.0,8299751.0,6.75,2.18,A,0.01,685822.52,Performing
CORP_00079,Commercial Real Estate,73979792,5.18,2026-12-08,23680355.0,3617732.0,11356805.0,3.29,3.14,B,0.05,1664545.32,Performing
CORP_00080,Aviation,42709731,3.92,2029-02-27,206940818.0,49646725.0,105831686.0,5.57,2.13,A,0.01,192193.79,Performing
CORP_00081,Retail,166156967,4.96,2029-04-10,370283117.0,78808429.0,251668369.0,3.31,3.19,B,0.05,3738531.76,Review Required (High Exposure)
CORP_00082,Financials,28027075,1.34,2029-05-17,80427390.0,9407763.0,43365096.0,3.71,4.61,C,0.15,1891827.56,Critical Watchlist
CORP_00083,Healthcare,220417853,1.81,2032-07-29,394981985.0,50990308.0,122314638.0,6.61,2.4,A,0.01,991880.34,Performing
CORP_00084,Retail,91191493,1.73,2030-02-03,202328925.0,25281169.0,62914893.0,6.45,2.49,A,0.01,410361.72,Performing
CORP_00085,Aviation,92796277,4.78,2030-12-27,238523210.0,70816503.0,344652579.0,2.21,4.87,C,0.15,6263748.7,Critical Watchlist
CORP_00086,Manufacturing,205619113,5.64,2026-04-26,235837597.0,48703220.0,219013644.0,2.19,4.5,C,0.15,13879290.13,Critical Watchlist
CORP_00087,Manufacturing,27335235,5.12,2027-10-24,225982537.0,64102998.0,129127720.0,5.16,2.01,A,0.01,123008.56,Performing
CORP_00088,Healthcare,139489564,1.17,2030-01-05,406143478.0,65790348.0,150927093.0,7.69,2.29,A,0.01,627703.04,Performing
CORP_00089,Technology,142802430,5.77,2032-11-05,368156052.0,87634217.0,426466288.0,2.0,4.87,C,0.15,9639164.02,Critical Watchlist
CORP_00090,Telecommunications,132924625,2.95,2031-02-12,370647533.0,66406805.0,271975611.0,3.28,4.1,C,0.15,8972412.19,Critical Watchlist
CORP_00091,Commercial Real Estate,112944665,3.18,2032-05-23,342444379.0,39760977.0,195637027.0,2.65,4.92,C,0.15,7623764.89,Critical Watchlist
CORP_00092,Technology,57631083,1.58,2028-10-13,439054023.0,95980429.0,321166876.0,4.92,3.35,B,0.05,1296699.37,Performing
CORP_00093,Manufacturing,13585377,5.06,2026-11-07,143150906.0,30036149.0,115089194.0,2.73,3.83,B,0.05,305670.98,Performing
CORP_00094,Manufacturing,91544585,2.0,2026-07-27,317791957.0,56619247.0,282346056.0,3.09,4.99,C,0.15,6179259.49,Critical Watchlist
CORP_00095,Energy,90157821,4.1,2032-10-29,151086947.0,15614955.0,60470344.0,3.0,3.87,B,0.05,2028550.97,Performing
CORP_00096,Retail,226873123,5.62,2027-09-25,493628393.0,69632876.0,336097284.0,2.05,4.83,C,0.15,15313935.8,Critical Watchlist
CORP_00097,Aviation,157041741,1.49,2031-10-04,214692002.0,24454705.0,56156261.0,7.27,2.3,A,0.01,706687.83,Performing
CORP_00098,Commercial Real Estate,175819422,3.94,2027-10-19,44388186.0,8898490.0,22601550.0,4.66,2.54,B,0.05,3955937.0,Review Required (High Exposure)
CORP_00099,Healthcare,206323311,2.28,2029-11-24,23625558.0,3982116.0,13662375.0,4.3,3.43,B,0.05,4642274.5,Review Required (High Exposure)
CORP_00100,Aviation,65304654,2.89,2031-04-16,381783173.0,83285452.0,343529568.0,3.28,4.12,C,0.15,4408064.14,Critical Watchlist
CORP_00101,Energy,116636935,3.61,2030-08-07,425505196.0,60369827.0,282251324.0,2.64,4.68,C,0.15,7872993.11,Critical Watchlist
CORP_00102,Manufacturing,39119117,2.95,2026-08-25,335715716.0,89085530.0,275084745.0,4.35,3.09,B,0.05,880180.13,Performing
CORP_00103,Healthcare,41433622,4.57,2026-12-14,92638260.0,16133716.0,64057913.0,2.78,3.97,B,0.05,932256.5,Performing
CORP_00104,Manufacturing,94482491,3.64,2027-09-22,273708484.0,64622057.0,179096824.0,4.43,2.77,B,0.05,2125856.05,Performing
CORP_00105,Commercial Real Estate,199249720,4.21,2030-03-21,310151446.0,85872487.0,424827376.0,2.32,4.95,C,0.15,13449356.1,Critical Watchlist
CORP_00106,Retail,106670589,5.05,2031-06-27,395111019.0,87754433.0,229366518.0,4.01,2.61,B,0.05,2400088.25,Performing
CORP_00107,Aviation,60105831,4.07,2029-06-25,160050304.0,41645502.0,147389394.0,3.3,3.54,B,0.05,1352381.2,Performing
CORP_00108,Aviation,142584340,4.23,2026-12-30,65256341.0,15751515.0,75485541.0,2.39,4.79,C,0.15,9624442.95,Critical Watchlist
CORP_00109,Technology,63743503,4.1,2032-06-26,176621277.0,43964459.0,204307950.0,2.5,4.65,C,0.15,4302686.45,Critical Watchlist
CORP_00110,Healthcare,96693393,3.08,2026-10-13,207213151.0,25281783.0,71741628.0,4.65,2.84,B,0.05,2175601.34,Performing
CORP_00111,Telecommunications,175476398,2.86,2026-05-29,,,,,,,,,Non-Compliant (Missing Financials)
CORP_00112,Energy,74739572,5.95,2029-01-12,17508857.0,2679555.0,8276461.0,3.1,3.09,B,0.05,1681640.37,Performing
CORP_00113,Telecommunications,109157975,4.34,2032-09-19,18986506.0,2413925.0,11181028.0,2.44,4.63,C,0.15,7368163.31,Critical Watchlist
CORP_00114,Technology,195066585,2.34,2027-04-01,249076929.0,62044954.0,183686320.0,4.94,2.96,B,0.05,4388998.16,Review Required (High Exposure)
CORP_00115,Commercial Real Estate,124208152,3.74,2030-11-02,363408176.0,88804504.0,280416746.0,3.84,3.16,B,0.05,2794683.42,Performing
CORP_00116,Energy,137862715,2.82,2028-03-10,246892468.0,52355409.0,258886510.0,2.76,4.94,C,0.15,9305733.26,Critical Watchlist
CORP_00117,Retail,196273147,6.14,2029-03-30,129016014.0,33772466.0,78069294.0,4.07,2.31,A,0.01,883229.16,Performing
CORP_00118,Telecommunications,188378299,1.04,2028-10-09,194072046.0,30747269.0,88912070.0,6.24,2.89,B,0.05,4238511.73,Review Required (High Exposure)
CORP_00119,Retail,116665644,2.24,2032-11-12,138461970.0,26361224.0,122192556.0,3.2,4.64,C,0.15,7874930.97,Critical Watchlist
CORP_00120,Telecommunications,73394024,3.01,2030-03-04,46021483.0,7949601.0,37683008.0,2.81,4.74,C,0.15,4954096.62,Critical Watchlist
CORP_00121,Retail,203743196,3.68,2027-04-26,463742091.0,98459710.0,236681425.0,5.09,2.4,A,0.01,916844.38,Performing
CORP_00122,Telecommunications,229184334,5.68,2030-08-14,383327889.0,76228470.0,283786237.0,2.64,3.72,B,0.05,5156647.52,Review Required (High Exposure)
CORP_00123,Retail,177945196,1.48,2031-12-02,485733570.0,83960083.0,188471260.0,7.45,2.24,A,0.01,800753.38,Performing
CORP_00124,Technology,56757120,5.43,2030-05-21,341387220.0,101271990.0,491012097.0,2.08,4.85,C,0.15,3831105.6,Critical Watchlist
CORP_00125,Financials,72157848,1.31,2032-08-05,375173157.0,82227390.0,202239857.0,7.0,2.46,A,0.01,324710.32,Performing
CORP_00126,Energy,217115270,5.63,2026-12-07,313431194.0,93624309.0,224163705.0,4.12,2.39,A,0.01,977018.72,Performing
CORP_00127,Healthcare,212882760,1.28,2031-07-04,274813704.0,45868193.0,189795091.0,4.18,4.14,C,0.15,14369586.3,Critical Watchlist
CORP_00128,Commercial Real Estate,100540567,1.1,2032-11-01,263167583.0,65287658.0,158923658.0,7.34,2.43,A,0.01,452432.55,Performing
CORP_00129,Logistics,90390464,4.83,2031-02-10,339993016.0,66307648.0,254447612.0,2.79,3.84,B,0.05,2033785.44,Performing
CORP_00130,Manufacturing,53170987,6.48,2028-04-14,336177538.0,68151894.0,262891276.0,2.36,3.86,B,0.05,1196347.21,Performing
CORP_00131,Healthcare,191780295,5.93,2029-04-18,293918313.0,36354379.0,132907813.0,2.62,3.66,B,0.05,4315056.64,Review Required (High Exposure)
CORP_00132,Manufacturing,28717335,4.17,2030-09-22,249699984.0,41927706.0,181371077.0,2.67,4.33,C,0.15,1938420.11,Critical Watchlist
CORP_00133,Energy,65472382,6.05,2030-08-17,388719301.0,87822251.0,319985114.0,2.6,3.64,B,0.05,1473128.6,Performing
CORP_00134,Healthcare,17719242,1.03,2026-11-07,128318188.0,13924327.0,61104203.0,4.12,4.39,C,0.15,1196048.84,Critical Watchlist
CORP_00135,Retail,53715250,6.36,2026-09-19,75344669.0,13343040.0,29583233.0,4.15,2.22,A,0.01,241718.62,Performing
CORP_00136,Retail,88139152,3.7,2029-12-13,305932878.0,31567967.0,145347042.0,2.65,4.6,C,0.15,5949392.76,Critical Watchlist
CORP_00137,Logistics,107400391,4.98,2027-02-10,361690874.0,47992514.0,209526066.0,2.42,4.37,C,0.15,7249526.39,Critical Watchlist
CORP_00138,Manufacturing,183271906,5.51,2031-12-31,442761163.0,65452876.0,131531756.0,4.97,2.01,A,0.01,824723.58,Performing
CORP_00139,Commercial Real Estate,177552610,4.95,2026-12-08,126722227.0,32913463.0,88399857.0,3.94,2.69,B,0.05,3994933.72,Review Required (High Exposure)
CORP_00140,Energy,96355424,3.94,2029-09-01,131939324.0,20260359.0,44790440.0,5.36,2.21,A,0.01,433599.41,Performing
CORP_00141,Retail,191659194,3.62,2026-09-01,172827849.0,35600584.0,139928390.0,3.13,3.93,B,0.05,4312331.86,Review Required (High Exposure)
CORP_00142,Financials,54583876,5.61,2027-05-05,225904729.0,60802214.0,172347387.0,3.49,2.83,B,0.05,1228137.21,Performing
CORP_00143,Technology,225335593,2.13,2026-01-12,259167442.0,73524261.0,269451994.0,4.12,3.66,B,0.05,5070050.84,Review Required (High Exposure)
CORP_00144,Technology,202421286,6.32,2027-07-15,81513683.0,17549367.0,59858489.0,2.71,3.41,B,0.05,4554478.94,Review Required (High Exposure)
CORP_00145,Telecommunications,116999993,4.91,2026-02-11,235800281.0,36807208.0,121151766.0,3.23,3.29,B,0.05,2632499.84,Performing
CORP_00146,Commercial Real Estate,234218344,2.1,2027-08-17,60610403.0,8015915.0,25217040.0,4.82,3.15,B,0.05,5269912.74,Review Required (High Exposure)
CORP_00147,Technology,176625499,5.05,2029-12-23,97478592.0,19047268.0,63618943.0,3.14,3.34,B,0.05,3974073.73,Review Required (High Exposure)
CORP_00148,Telecommunications,222340038,3.91,2031-01-01,35744427.0,7562294.0,37002617.0,2.43,4.89,C,0.15,15007952.56,Critical Watchlist
CORP_00149,Manufacturing,166226952,4.89,2030-08-21,136732695.0,23501515.0,79360555.0,3.15,3.38,B,0.05,3740106.42,Review Required (High Exposure)
CORP_00150,Retail,56327755,5.22,2026-05-14,468129900.0,56198757.0,112626710.0,5.13,2.0,A,0.01,253474.9,Performing
CORP_00151,Retail,84018913,1.48,2028-08-05,201145353.0,39889178.0,97089214.0,6.87,2.43,A,0.01,378085.11,Performing
CORP_00152,Financials,146347872,3.78,2026-03-14,274755094.0,27878388.0,123085011.0,2.74,4.42,C,0.15,9878481.36,Critical Watchlist
CORP_00153,Healthcare,9545583,6.13,2027-02-03,158621290.0,40988875.0,101881407.0,3.78,2.49,A,0.01,42955.12,Performing
CORP_00154,Technology,193296765,2.76,2029-11-29,226858160.0,43992907.0,202393416.0,2.99,4.6,C,0.15,13047531.64,Critical Watchlist
CORP_00155,Manufacturing,59474455,4.27,2026-05-10,123938605.0,23147371.0,87461252.0,3.02,3.78,B,0.05,1338175.24,Performing
CORP_00156,Aviation,180760164,3.03,2030-12-17,143604117.0,26948247.0,68391184.0,5.23,2.54,B,0.05,4067103.69,Review Required (High Exposure)
CORP_00157,Technology,185844642,3.5,2031-06-25,254139330.0,71204831.0,348009774.0,2.56,4.89,C,0.15,12544513.34,Critical Watchlist
CORP_00158,Commercial Real Estate,128685547,4.02,2026-09-23,262128632.0,38352171.0,174418687.0,2.58,4.55,C,0.15,8686274.42,Critical Watchlist
CORP_00159,Healthcare,58933927,4.02,2030-04-10,280223084.0,74843428.0,188010534.0,4.67,2.51,B,0.05,1326013.36,Performing
CORP_00160,Technology,111179285,2.11,2031-06-09,12456816.0,1763306.0,6719363.0,3.97,3.81,B,0.05,2501533.91,Performing
CORP_00161,Manufacturing,57453338,4.77,2028-03-03,108784922.0,11270962.0,32783899.0,3.71,2.91,B,0.05,1292700.11,Performing
CORP_00162,Technology,154099456,1.48,2032-04-19,30200772.0,6861987.0,14590630.0,7.86,2.13,A,0.01,693447.55,Performing
CORP_00163,Commercial Real Estate,39045666,1.76,2029-08-05,499376094.0,73017723.0,221763152.0,5.26,3.04,B,0.05,878527.48,Performing
CORP_00164,Aviation,151939822,1.01,2026-06-13,40810462.0,7276399.0,18531122.0,7.13,2.55,B,0.05,3418646.0,Review Required (High Exposure)
CORP_00165,Energy,115573005,1.64,2026-04-05,353290372.0,102727045.0,365763973.0,4.57,3.56,B,0.05,2600392.61,Performing
CORP_00166,Logistics,161396162,3.6,2030-12-11,476068745.0,65070279.0,323953713.0,2.48,4.98,C,0.15,10894240.94,Critical Watchlist
CORP_00167,Aviation,51321408,4.33,2029-02-07,323598148.0,39436606.0,92127131.0,4.85,2.34,A,0.01,230946.34,Performing
CORP_00168,Telecommunications,152014660,5.37,2032-07-11,418281992.0,83453534.0,232590942.0,3.64,2.79,B,0.05,3420329.85,Review Required (High Exposure)
CORP_00169,Technology,213241142,1.59,2028-04-01,493609067.0,79816823.0,309259623.0,4.24,3.87,B,0.05,4797925.7,Review Required (High Exposure)
CORP_00170,Retail,95053374,5.68,2026-08-26,448874530.0,63921843.0,157968683.0,3.97,2.47,A,0.01,427740.18,Performing
CORP_00171,Financials,31063245,5.1,2032-08-25,386493871.0,80694321.0,389372483.0,2.16,4.83,C,0.15,2096769.04,Critical Watchlist
CORP_00172,Retail,246787750,3.25,2032-12-05,189836992.0,45776893.0,104766455.0,5.64,2.29,A,0.01,1110544.88,Performing
CORP_00173,Aviation,178660954,6.13,2031-05-15,147823275.0,38850811.0,165922036.0,2.2,4.27,C,0.15,12059614.4,Critical Watchlist
CORP_00174,Retail,102636744,6.45,2028-11-14,455970291.0,86996456.0,178870598.0,4.44,2.06,A,0.01,461865.35,Performing
CORP_00175,Manufacturing,104483854,2.13,2030-08-04,446461557.0,68739010.0,274416783.0,3.78,3.99,B,0.05,2350886.72,Performing
CORP_00176,Retail,230661966,3.09,2032-12-04,314342322.0,44598164.0,102995766.0,5.71,2.31,A,0.01,1037978.85,Performing
CORP_00177,Healthcare,212837017,6.1,2028-08-21,62210444.0,14985857.0,46354203.0,3.05,3.09,B,0.05,4788832.88,Review Required (High Exposure)
CORP_00178,Energy,114174313,4.97,2027-06-21,179627074.0,19589557.0,85876204.0,2.41,4.38,C,0.15,7706766.13,Critical Watchlist
CORP_00179,Technology,12887739,1.26,2030-05-23,119116842.0,32668498.0,97496257.0,5.82,2.98,B,0.05,289974.13,Performing
CORP_00180,Retail,199954700,5.3,2031-06-03,425608659.0,90928029.0,400064296.0,2.32,4.4,C,0.15,13496942.25,Critical Watchlist
CORP_00181,Commercial Real Estate,66071026,5.55,2026-05-08,40170607.0,4182656.0,14318221.0,2.91,3.42,B,0.05,1486598.09,Performing
CORP_00182,Energy,139987326,5.13,2026-04-02,297689839.0,71753260.0,244268113.0,3.05,3.4,B,0.05,3149714.84,Performing
CORP_00183,Energy,94178975,5.4,2027-06-27,295579148.0,44846641.0,154107487.0,2.94,3.44,B,0.05,2119026.94,Performing
CORP_00184,Retail,54007334,5.54,2028-04-25,449990828.0,118923358.0,373799068.0,3.17,3.14,B,0.05,1215165.02,Performing
CORP_00185,Energy,167651376,2.03,2030-08-09,70408035.0,19105381.0,68896440.0,4.25,3.61,B,0.05,3772155.96,Review Required (High Exposure)
CORP_00186,Financials,12971379,2.3,2031-01-26,409605264.0,107374509.0,339026441.0,4.66,3.16,B,0.05,291856.03,Performing
CORP_00187,Retail,8331068,4.49,2032-10-30,87472329.0,18597868.0,50798085.0,4.07,2.73,B,0.05,187449.03,Performing
CORP_00188,Manufacturing,41810847,5.99,2027-01-25,292678437.0,59647016.0,191303132.0,2.97,3.21,B,0.05,940744.06,Performing
CORP_00189,Aviation,39428803,2.74,2031-02-28,294574066.0,42455537.0,196785461.0,2.98,4.64,C,0.15,2661444.2,Critical Watchlist
CORP_00190,Healthcare,144871965,4.24,2026-02-12,313177081.0,44629549.0,159748674.0,3.2,3.58,B,0.05,3259619.21,Performing
